Week,Hotel,2016,2017,2018,2019,2020
1,21,"$497,433 ","$470,224 ","$499,591 ","$475,774 ","$514,058 "
1,22,"$507,554 ","$511,698 ","$504,512 ","$568,714 ","$573,596 "
1,23,"$756,729 ","$743,345 ","$728,017 ","$648,909 ","$648,779 "
1,24,"$715,910 ","$684,969 ","$618,252 ","$647,173 ","$710,796 "
1,25,"$1,158,284 ","$1,153,588 ","$1,145,525 ","$1,285,172 ","$1,389,244 "
1,26,"$550,185 ","$556,602 ","$565,029 ","$644,307 ","$623,541 "
1,27,"$984,948 ","$933,976 ","$815,639 ","$885,625 ","$808,838 "
1,28,"$339,843 ","$355,643 ","$471,226 ","$559,396 ","$484,374 "
1,29,"$1,467,641 ","$1,536,821 ","$1,626,460 ","$1,613,314 ","$1,600,719 "
1,30,"$466,864 ","$459,346 ","$423,775 ","$442,199 ","$467,626 "
1,59,"$375,196 ","$371,500 ","$355,009 ","$359,469 ","$374,665 "
2,21,"$471,576 ","$444,669 ","$545,155 ","$465,924 ","$544,228 "
2,22,"$520,236 ","$498,022 ","$551,910 ","$531,323 ","$603,870 "
2,23,"$758,196 ","$705,866 ","$780,792 ","$666,134 ","$738,631 "
2,24,"$703,500 ","$617,419 ","$684,474 ","$632,756 ","$707,003 "
2,25,"$1,104,108 ","$1,104,040 ","$1,214,750 ","$1,177,398 ","$1,403,451 "
2,26,"$562,065 ","$536,007 ","$582,735 ","$584,756 ","$636,637 "
2,27,"$965,048 ","$908,250 ","$843,482 ","$772,373 ","$820,429 "
2,28,"$360,224 ","$407,703 ","$446,576 ","$665,125 ","$513,652 "
2,29,"$1,414,187 ","$1,427,598 ","$1,587,811 ","$1,493,526 ","$1,658,583 "
2,30,"$440,354 ","$435,958 ","$481,513 ","$440,048 ","$478,964 "
2,59,"$355,897 ","$364,836 ","$373,043 ","$336,194 ","$364,613 "
3,21,"$443,125 ","$497,735 ","$496,050 ","$450,653 ","$532,875 "
3,22,"$475,559 ","$537,849 ","$531,896 ","$516,935 ","$563,935 "
3,23,"$728,408 ","$802,210 ","$737,830 ","$625,163 ","$660,304 "
3,24,"$646,767 ","$693,432 ","$649,348 ","$618,535 ","$682,554 "
3,25,"$1,038,355 ","$1,176,136 ","$1,161,545 ","$1,209,737 ","$1,349,631 "
3,26,"$525,162 ","$553,685 ","$595,592 ","$585,950 ","$602,996 "
3,27,"$898,549 ","$940,034 ","$825,035 ","$764,629 ","$789,897 "
3,28,"$386,185 ","$484,789 ","$400,558 ","$508,759 ","$489,591 "
3,29,"$1,325,184 ","$1,535,847 ","$1,552,235 ","$1,565,128 ","$1,585,676 "
3,30,"$431,780 ","$483,048 ","$449,622 ","$420,374 ","$457,486 "
3,59,"$337,961 ","$369,250 ","$356,722 ","$343,227 ","$356,311 "
4,21,"$493,939 ","$501,392 ","$576,744 ","$477,398 ","$545,710 "
4,22,"$511,246 ","$507,536 ","$559,697 ","$537,358 ","$572,800 "
4,23,"$787,146 ","$787,439 ","$802,544 ","$663,324 ","$709,698 "
4,24,"$695,197 ","$663,876 ","$730,126 ","$648,730 ","$706,092 "
4,25,"$1,131,746 ","$1,153,278 ","$1,299,381 ","$1,296,121 ","$1,469,826 "
4,26,"$563,491 ","$558,523 ","$585,593 ","$584,784 ","$610,658 "
4,27,"$937,884 ","$927,556 ","$859,698 ","$777,371 ","$792,542 "
4,28,"$453,669 ","$439,207 ","$448,153 ","$476,198 ","$559,651 "
4,29,"$1,517,077 ","$1,564,978 ","$1,797,740 ","$1,696,700 ","$1,788,333 "
4,30,"$471,767 ","$476,960 ","$503,904 ","$432,628 ","$486,677 "
4,59,"$362,579 ","$376,974 ","$383,904 ","$356,901 ","$379,030 "
5,21,"$482,563 ","$513,146 ","$602,415 ","$517,065 ","$607,190 "
5,22,"$504,016 ","$536,482 ","$570,693 ","$562,647 ","$616,093 "
5,23,"$797,220 ","$785,059 ","$782,960 ","$700,232 ","$725,423 "
5,24,"$698,461 ","$754,125 ","$749,385 ","$683,229 ","$744,613 "
5,25,"$1,127,289 ","$1,253,247 ","$1,281,830 ","$1,344,374 ","$1,546,969 "
5,26,"$536,122 ","$582,623 ","$585,952 ","$621,579 ","$644,702 "
5,27,"$915,284 ","$959,752 ","$866,311 ","$801,389 ","$829,617 "
5,28,"$482,938 ","$436,460 ","$518,538 ","$486,605 ","$626,858 "
5,29,"$1,450,086 ","$1,734,541 ","$1,610,393 ","$1,685,132 ","$1,833,068 "
5,30,"$460,515 ","$477,140 ","$509,707 ","$467,925 ","$528,287 "
5,59,"$339,167 ","$395,627 ","$389,836 ","$362,601 ","$384,428 "
6,21,"$564,957 ","$520,695 ","$648,306 ","$576,567 ","$685,123 "
6,22,"$543,242 ","$547,242 ","$594,771 ","$627,703 ","$654,014 "
6,23,"$811,512 ","$819,106 ","$820,516 ","$735,012 ","$760,959 "
